Designator,Mid X,Mid Y,Layer,Rotation
C1, 6.35,58.42,Top,180.0
C2,13.97,71.12,Top,0.0
C3, 8.89,71.12,Top,180.0
C4,19.05,60.33,Top,270.0
C5,45.72,31.75,Top,0.0
C6,36.83,40.26,Top,180.0
C7,27.81,31.75,Top,180.0
C8,26.80,43.18,Top,90.0
C9,36.83,23.24,Top,180.0
C10,10.67,20.32,Top,270.0
C11,22.35,20.32,Top,90.0
C12,20.32, 8.89,Top,180.0
C13,35.69, 5.08,Top,270.0
C14,37.97, 5.08,Top,270.0
D1,11.81,58.42,Top,0.0
D2, 8.00,43.18,Top,270.0
D3,11.43,34.29,Top,270.0
D4,13.97,13.97,Top,180.0
D5,50.29,62.23,Top,180.0
D6,20.96,31.24,Top,180.0
D7,18.41,31.24,Top,180.0
J4,73.66,36.83,Top,90.0
L1,45.47,27.56,Top,0.0
R1, 4.19,43.18,Top,180.0
R2,61.09, 2.54,Top,180.0
R3,11.43, 8.89,Top,90.0
R4,20.96,27.94,Top,90.0
R5,18.41,27.94,Top,90.0
R6,20.96,34.54,Top,90.0
R7,18.41,34.54,Top,90.0
R8,15.62, 8.00,Top,90.0
R9,14.10, 8.00,Top,90.0
R12,34.29,48.26,Top,270.0
R13,36.83,48.26,Top,270.0
R14,39.37,48.26,Top,270.0
U1, 6.35,64.77,Top,0.0
U2,13.97,64.77,Top,180.0
U3,36.83,31.75,Top,45.0
U4,16.51,20.32,Top,180.0
U5,20.32, 5.08,Top,270.0
X2, 5.08,11.43,Top,0.0
X3, 5.08,29.21,Top,0.0
